file_path,file_name,speaker_name,conversation_format,framework_reference_resolution,framework_completeness_score,framework_question_relevance,framework_question_count,baseline_reference_resolution,baseline_completeness_score,baseline_question_relevance,baseline_question_count,efficiency_ratio,relevance_difference,framework_questions,baseline_questions,sample_conversation
./dataset/hospital/1_2_event_prompt_hospital_005.txt,1_2_event_prompt_hospital_005.txt,Mathew,Hospital Ward,0.041666666666666664,1,1,3,0.25,1,1,5,0.6,0,"['Have you experienced any fever, chills, or sweats since the pain started?', 'Is the pain constant, or does it come and go? Does anything make it worse or better?', 'Have you had any recent injuries, changes in diet, or traveled anywhere in the past few weeks?']","['Certainly! Here are the most important questions that should be asked to help clarify and move this medical consultation forward, based on the information provided and what is missing:', 'Has the pain changed in intensity, location, or character since it started?', 'Is the pain constant, or does it come and go?']","Uh, hi, Dr. Robin. Sorry, I know I said before, but, uh, I’ve got this pain in my lower left abdomen. It’s just been kind of sharp since last night...."
./dataset/hospital/1_2_event_prompt_hospital_004.txt,1_2_event_prompt_hospital_004.txt,Mathew,Hospital Ward,0.13513513513513514,1,1,3,0.25,1,1,5,0.6,0,"['Can you describe exactly where the pain is located and does it radiate anywhere else?', 'Have you experienced any changes in your bowel movements, urination, or noticed blood in your stool or urine?', 'Have you had any recent travel, new foods, or contact with anyone who was ill?']","['**Can you describe exactly where the pain is located? (Point with one finger)**', '**Has the pain changed in intensity, location, or character since it started?**', '**Does anything make the pain better or worse (e.g., eating, movement, position, passing stool/gas)?**']","Uh, hi Dr. Robin, uh, thanks for seeing me today. I, um, I’ve just been... having this pain? It’s kinda on the lower left side of my abdomen. It’s been..."
./dataset/hospital/1_2_event_prompt_hospital_010.txt,1_2_event_prompt_hospital_010.txt,Mathew,Office Floor 3,0,1,1,3,0,1,1,5,0.6,0,"['Can you describe the exact location of the pain and does it radiate anywhere else?', 'Have you experienced any changes in your urine, such as pain, frequency, or blood?', 'Have you had similar abdominal pain episodes in the past, or any recent injuries or surgeries?']","['Can you describe the exact location of the pain? Does it radiate anywhere (e.g., to your back, groin, or leg)?', 'Have you experienced similar pain before? If so, when and how was it resolved?', 'Have you noticed any changes in your urine (color, frequency, pain while urinating)?']","Uh, good afternoon, uh, Dr. Robin. Uh, I, um, I think you saw my chart earlier, but, uh, I just wanted to, to go over it again. I, I'm having..."
./dataset/hospital/1_2_event_prompt_hospital_012.txt,1_2_event_prompt_hospital_012.txt,Mathew,Hospital Ward,0.11428571428571428,1,1,3,0.25,1,1,5,0.6,0,"['Can you describe the exact location and nature of your abdominal pain (e.g., is it constant, does it move, does anything make it better or worse)?', 'Have you experienced any other symptoms such as changes in urine, blood in stool, weight loss, or recent infections?', 'Are you currently taking any medications, including over-the-counter drugs or supplements?']","['Can you describe exactly where the pain is located? Does it radiate anywhere else?', 'When did the pain start, and has it changed in intensity or character since then?', 'Is there anything that makes the pain better or worse (movement, eating, position)?']","Uh, hi, uh, good morning. Is this where I need to check in? Sorry, I, uh, I just got here… feeling a bit nervous. Is Dr. Robin around? Honestly, doctor,..."
./dataset/hospital/1_2_event_prompt_hospital_013.txt,1_2_event_prompt_hospital_013.txt,Mathew,Office Floor 3,0.035714286,1,1,3,0.25,1,1,5,0.6,0,"['Can you describe the exact location and intensity of the pain, and does it radiate anywhere else?', 'Have you experienced any changes in urination, such as pain, frequency, or blood in urine?', 'Do you have any history of similar abdominal pain or any known medical conditions besides fatty liver?']","['Can you describe the pain in more detail? (e.g., is it constant or does it come and go? How severe is it on a scale of 1-10?)', 'Have you experienced any similar pain in the past?', 'Do you have any other medical conditions besides fatty liver? Are you currently taking any medications?']","Uh, morning, Dr. Robin. Thanks for seeing me. I’ve, um, got this pain in my lower left abdomen since last night. It’s kinda dull but sometimes it’s sharp, especially when..."
./dataset/hospital/1_2_event_prompt_hospital_007.txt,1_2_event_prompt_hospital_007.txt,Mathew,Office Floor 3,0.037037037037037035,1,1,3,0,0.5,1,5,0.6,0,"['Can you describe exactly where the pain is located and does it radiate anywhere else?', 'Have you noticed any changes in your bowel movements, such as constipation or blood in your stool?', 'Do you have any history of similar abdominal pain or any known medical conditions (e.g., digestive issues, kidney problems, gynecological concerns)?']","['Can you describe exactly where the pain is located? (Point to the spot or use anatomical terms.)', 'Have you experienced anything like this before?', 'Is the pain constant, or does it come and go?']","Good morning, Dr. Robin. Umm... thanks for seeing me today. Uh, I’ve, I’ve been having this kinda, uh, pain in my lower left abdomen since last night. It’s like a..."
./dataset/hospital/1_2_event_prompt_hospital_009.txt,1_2_event_prompt_hospital_009.txt,Mathew,Office Floor 3,0.16129032258064516,1,1,3,0.25,1,1,5,0.6,0,"['How severe is the pain right now, and has it changed since you first noticed it?', 'Have you experienced any other symptoms such as fever, chills, urinary changes, or blood in your stool since we last spoke?', 'Is there any history of similar abdominal pain, recent injuries, or known medical conditions that could be relevant?']","['Can you describe exactly where the pain is located? (Point with one finger.)', 'How long does each episode of pain last, and how frequently does it come and go?', 'Is the pain constant, or does it come in waves?']","Uh, hi, Dr. Robin. Sorry, I know I was supposed to wait but, um, I’ve been having this pain in my lower left abdomen since last night. It’s kinda getting..."
./dataset/hospital/1_2_event_prompt_hospital_008.txt,1_2_event_prompt_hospital_008.txt,Mathew,Hospital Ward,0.23255813953488372,1,1,3,0,1,1,5,0.6,0,"['When did the pain first start, and has it changed in intensity or location since then?', 'Have you experienced any other symptoms such as fever, vomiting, changes in bowel movements, or urinary issues?', 'Can you provide a complete list of your current medications and any recent changes to your medication or supplement routine?']","['Can you describe exactly where the pain is located? (Point to the area if possible.)', 'Have you had any similar pain before?', 'Is the pain constant, or does it come and go? How long does each episode last?']","Um, hi. Is this where I check in for my appointment? Sorry, I wasn’t sure, uh, where to go. Uh, sure, yeah. So, um, I’ve been having this pain? It’s..."
./dataset/hospital/1_2_event_prompt_hospital_020.txt,1_2_event_prompt_hospital_020.txt,Mathew,Hospital Ward,0.038461538461538464,1,1,3,0.25,1,1,5,0.6,0,"['Can you describe exactly where the pain is located and if it has moved or changed since it started?', 'Have you experienced any other symptoms such as urinary changes, blood in stool, or recent weight loss?', 'Is there a history of similar abdominal pain or any known gastrointestinal conditions in your past medical history?']","['Can you describe exactly where the pain is located?', 'Has the pain changed in intensity or location since it started?', 'Is there anything that makes the pain better or worse (besides movement/coughing)?']","Um, hi, Dr. Robin. Uh, thanks for coming in. I, uh, I’ve been here for a while now and I’m starting to feel more pain in my lower left abdomen...."
./dataset/hospital/1_2_event_prompt_hospital_018.txt,1_2_event_prompt_hospital_018.txt,Mathew,Hospital Ward,0.37777777777777777,1,1,3,0.25,1,1,5,0.6,0,"['When did the pain first start, and has it changed in intensity or location since then?', 'Have you experienced any other symptoms such as vomiting, chills, urinary changes, or recent trauma?', 'Do you have any history of gastrointestinal issues, surgeries, or similar episodes in the past?']","['Has Mathew’s pain been assessed in person? What are the findings on physical examination (e.g., tenderness, guarding, rebound)?', 'Has Mathew’s vital signs been checked recently (temperature, heart rate, blood pressure, respiratory rate)?', 'Are there any red flag symptoms (e.g., severe pain, vomiting, blood in stool, inability to pass stool/gas)?']","Uh, hi Dr. Robin. Um, I, uh, sorry, I’m not feeling too good today. There’s like this pain, um, kind of on the lower left side of my belly. I..."
./dataset/hospital/1_2_event_prompt_hospital_019.txt,1_2_event_prompt_hospital_019.txt,Mathew,Hospital Ward,0.083333333,1,1,3,0,1,1,5,0.6,0,"['Can you describe exactly where the pain is located and if it has moved or changed since it started?', 'Have you experienced any other symptoms since the pain began, such as nausea, loss of appetite, bloating, or changes in bowel movements?', 'Is there a history of similar pain or any known medical conditions (such as diverticulitis, kidney stones, or gynecological issues) that might be relevant?']","['Have you ever experienced this kind of abdominal pain before?', 'Is the pain constant, or does it come and go?', 'Does anything else make the pain better or worse (e.g., eating, passing gas, bowel movements)?']","Uh, good morning, Doctor Robin. Sorry, I’m a bit late today. Um, I’ve been having this pain, uh, on the lower left side of my abdomen since last night. It’s..."
./dataset/friends/1_2_event_holiday_prompt_002.txt,1_2_event_holiday_prompt_002.txt,Rob,Hospital Ward,0.3103448275862069,1,1,3,0.25,1,1,5,0.6,0,"['Have you checked the group booking discounts yet, or should I look into it?', 'What type of accommodation do you prefer—hostel, guesthouse, Airbnb, or glamping?', 'Are you okay with splitting expenses for meals, hotels, and activities, and do you have any budget limits?']","['Do you prefer a mountain retreat, a beach vacation, or a city road trip? Which option excites you most?', 'Are you open to local travel only, or would you consider international destinations if paperwork is manageable?', 'Who else would you like to invite? Should we keep it to just a few close friends?']","Hey Tina, um, how’s it going today? Uh, the nurse just came in, said I’m on track to be discharged pretty soon. So—yeah, I was on my phone, scrolling through..."
./dataset/friends/1_2_event_holiday_prompt_016.txt,1_2_event_holiday_prompt_016.txt,Rob,Hospital Ward,0.071428571,1,1,3,0,0.75,1,5,0.6,0,"['Which destinations are everyone interested in—beach or mountains, and are there any specific places in mind?', 'What are everyone’s budget limits, travel dates, and passport/visa statuses?', 'Are there any must-do activities or preferences (festivals, concerts, spa, shopping, food) that should be prioritized when planning the itinerary?']","['Do you prefer a beach or mountain destination, or are you open to suggestions?', 'Are there any specific countries or regions you’re interested in?', 'What kind of activities does everyone want to prioritize (relaxation, adventure, festivals, shopping, etc.)?']","So, Tina, uh... I’ve been thinking, you know, since I've been cooped up here for weeks, it’s about time I plan that holiday I've been dreaming about. After all this......"
./dataset/friends/1_2_event_holiday_prompt_017.txt,1_2_event_holiday_prompt_017.txt,Rob,Hospital Ward,0.21739130434782608,1,1,3,0,1,1,5,0.6,0,"['What is everyone’s preferred destination—beach, mountains, or city—and are there any places that are off-limits due to budget or travel restrictions?', 'Who is definitely joining the trip, and are there any special needs (dietary, accessibility, pet accommodations) we need to consider for the group?', 'What are the must-do activities for each person, and how can we prioritize or balance these in the itinerary to keep everyone happy?']","['Have you narrowed down the destination options (beach, mountains, city), or do you need help deciding?', 'What are everyone’s top priorities for the trip (relaxation, adventure, sightseeing, cultural experiences)?', 'Are there any destinations that are off-limits due to budget, health, or visa/passport issues?']","Hey, uh, Tina, I... I got these travel brochures while I was waiting here today. I’ve been thinking a lot about where to go once I get out of the..."
./dataset/friends/1_2_event_holiday_prompt_015.txt,1_2_event_holiday_prompt_015.txt,Rob,Casual Setting,0.1875,1,1,3,0.25,0.5,1,5,0.6,0,"['What are your top three activities or places you definitely want to include in the trip?', 'Are you comfortable with budget accommodations, or do you prefer something cozier like a guesthouse?', 'Would you prefer a road trip, guided tour, or another mode of transportation?']","['Which do you prefer: beach or mountains? Or do you have another destination in mind?', 'Are there any cities or specific places you’ve always wanted to visit?', 'Are you okay with traveling within the States, or would you consider going overseas if budget/visas work out?']","Hey Tina, um, so, you remember when we talked about doing something after the holidays? I was thinking maybe now’s the time to actually plan it. Since, you know, we..."
./dataset/friends/1_2_event_holiday_prompt_001.txt,1_2_event_holiday_prompt_001.txt,Rob,Casual Setting,0.074074074,1,1,3,0.25,0.75,1,5,0.6,0,"['Which destination are you leaning towards—city or beach—and what are your top priorities for the trip?', 'Are you traveling solo or with others, and what is your budget range for accommodation and activities?', 'Have you checked the latest travel requirements (Covid rules, vaccination proof, insurance) and do you need help booking or organizing any part of your itinerary?']","['**Which destinations are you seriously considering right now?**', '**What are your preferred travel dates?**', '**Are you leaning more toward the city trip (e.g., New York) or the other spot on your bucket list?**']","So, um... you’ve been checking travel stuff again, huh? Got anywhere in mind for when you leave here? Hmm, both sound good. You said your bucket list had both spots,..."
./dataset/friends/1_2_event_holiday_prompt_010.txt,1_2_event_holiday_prompt_010.txt,Rob,Casual Setting,0.21052631578947367,1,1,3,0.25,0.75,1,5,0.6,0,"['What are your preferred travel dates and how flexible are you with timing?', 'What is your maximum budget for the trip, including accommodation, transport, and activities?', 'Do you have any specific dietary restrictions, medical needs, or pet requirements we should plan for?']","['Certainly! Here are the **most important questions** that should be asked to help move this travel planning conversation forward, based on the context and what’s missing or unclear:', '**Which destination do you prefer—beach or mountains?**', '**What dates are you available to travel?**']","So... um, Tina, I was just thinking... now that I’m about to get out of here, all I want is a proper holiday. Like, after being cooped up for surgery..."
./dataset/friends/1_2_event_holiday_prompt_004.txt,1_2_event_holiday_prompt_004.txt,Rob,Casual Setting,0.1875,1,1,3,0,1,0.8,5,0.6,0.19999999999999996,"['Who else is definitely interested in joining the trip, and do they have any specific travel restrictions or preferences?', 'What are everyone’s budget limits, and are there any must-have amenities or requirements (e.g., pet-friendly, private rooms)?', 'Which destinations or travel dates work best for the group, considering visa requirements, Covid rules, and availability?']","['Who exactly is interested in joining the trip? Can we get a list of confirmed and potential participants?', 'What are everyone’s preferred travel dates and trip duration?', 'Does anyone have specific destination preferences (beach, mountains, city, etc.)?']","Hey Tina, uh... it’s good to see you here. I’m really starting to feel a lot better now. You know, uh, after all this, I’m just itching to get out..."
./dataset/friends/1_2_event_holiday_prompt_005.txt,1_2_event_holiday_prompt_005.txt,Rob,Hospital Ward,0.15384615384615385,1,1,3,0,1,1,5,0.6,0,"['Which destination do you prefer—Goa, Manali, or Prague—and do you have any specific reasons or requirements for your choice?', 'Are you comfortable with splitting expenses as we go, or would you prefer to handle bookings and payments in advance?', 'Do you have any travel restrictions, dietary needs, or pet-related requirements that I should keep in mind while planning accommodation and activities?']","['Which destination do you prefer: Goa, Manali, or Prague? Do you have a strong preference or any other suggestions?', 'Are you okay with a domestic trip, or do you want to try for an international one despite the visa/passport complications?', 'What kind of activities or experiences are you hoping for on this trip (relaxation, adventure, sightseeing, etc.)?']","Hey Tina, um, thanks for dropping by. Looks like it’s quieter here now. So, uh, how’s your shift going today? I’m better, I think. The doctor said I might get..."
./dataset/friends/1_2_event_holiday_prompt_007.txt,1_2_event_holiday_prompt_007.txt,Rob,Casual Setting,0.25,1,1,3,0,1,1,5,0.6,0,"['What destinations are you considering, and what are your priorities (beach, mountains, wellness, local cuisine, etc.)?', 'Will you be traveling solo or with others (including Jack’s dog), and do you need help finding pet-friendly or group accommodations?', 'What is your budget range, and do you prefer booking early or waiting for last-minute deals?']","['Have you narrowed down your destination options? Are you leaning more toward the beach or the mountains?', 'Are you considering domestic or international travel?', 'What is your budget range for the trip?']","Hey Tina. You got a second? I wanted to ask you about holiday planning. Uh… now that I'm getting discharged this weekend, I thought I should maybe settle on a..."
./dataset/friends/1_2_event_holiday_prompt_006.txt,1_2_event_holiday_prompt_006.txt,Rob,Casual Setting,0.15789473684210525,1,1,3,0,1,1,5,0.6,0,"['What are your current health or mobility limitations, and are there any activities or accommodations we should avoid or prioritize?', 'Which destinations are you most interested in, and do you have a preference for local versus slightly farther travel?', 'What is our budget range, and are there any specific deals or group rates you’ve found that we should consider?']","['**Do you have any specific destinations in mind, or should we brainstorm together?**', '**Are there any places you’d prefer to avoid due to health/recovery (e.g., altitude, long walks)?**', '**Would you prefer somewhere local, or are you open to short-distance travel (e.g., train, car)?**']","Hey Tina, thanks for stopping by... It's nice to see a friendly face while I'm stuck here recovering. Uh, so, I've been thinking a lot about that holiday we've always..."
./dataset/friends/1_2_event_holiday_prompt_008.txt,1_2_event_holiday_prompt_008.txt,Rob,Casual Setting,0.15384615384615385,1,1,3,0,0.5,1,5,0.6,0,"['Where would you most like to go—beach, mountains, or somewhere else?', 'What is our total budget for the trip, and are there any expenses we need to prioritize or avoid?', 'Who is definitely joining us, and are there any special needs or preferences (diet, activities, accommodation) we should consider for everyone?']","['Certainly! Here are the most important questions to ask Tina (or any other participant) to help move this holiday planning conversation forward, based on the context and what’s missing or unclear:', 'Where would you most like to go—beach, mountains, city, or somewhere else?', 'Do you have any specific countries or regions in mind?']","Hey Tina, uh, so I was just thinking, you know, with all this downtime, maybe, uh, we should actually start planning that holiday we keep talking about. I was flipping..."
./dataset/friends/1_2_event_holiday_prompt_009.txt,1_2_event_holiday_prompt_009.txt,Rob,Hospital Ward,0.086956522,1,1,3,0.25,0.75,1,5,0.6,0,"['What dates are you available for the trip, and how many days do you want to travel?', 'Do you have any specific health restrictions or needs I should keep in mind when planning activities and accommodations?', 'What is your budget range for accommodation, food, and activities, so we can shortlist options accordingly?']","['What specific restrictions or recommendations did your doctor give regarding travel, physical activity, and diet after your surgery?', 'Are there any medications or medical supplies you need to bring, and do you need prescriptions or documentation for travel?', 'Is there a need to coordinate with your doctor for a travel clearance or additional advice before booking?']","Mmm, this coffee’s good. Thanks, Tina. Uh—so, I was just looking at this beach resort in Puerto Rico. Kind of tempting, but I’m still not sure if I’d manage all..."
./dataset/friends/1_2_event_holiday_prompt_019.txt,1_2_event_holiday_prompt_019.txt,Rob,Hospital Ward,0.14285714285714285,1,1,3,0,1,1,5,0.6,0,"['Which destination do you prefer—beach resort or mountain retreat?', 'What are your budget limits for travel, accommodation, and activities?', 'Have you checked your passport validity and any required travel documents or vaccinations?']","['Do you prefer the beach resort or the mountain retreat? Or do you have another destination in mind?', 'Are there any specific places you’ve always wanted to visit?', 'What kind of activities are you most interested in—adventure, relaxation, sightseeing, food, or something else?']","Hey Tina, you finally got a break, huh? Man, these shifts get longer every day. So uh, have you actually thought about where you wanna go for our holiday? I..."
